date	inst	party	value
2008-11-20	GMS	cdu	33.8
2008-11-20	GMS	afd	
2008-11-20	GMS	lin	13.5
2008-11-20	GMS	son	4.2
2008-11-20	GMS	fdp	13.9
2008-11-20	GMS	rep	
2008-11-20	GMS	pir	
2008-11-20	GMS	spd	24.3
2008-11-19	Emnid	gru	10.0
2008-11-19	Emnid	cdu	35.0
2008-11-19	Emnid	afd	
2008-11-19	Emnid	lin	14.0
2008-11-19	Emnid	son	4.0
2008-11-19	Emnid	fdp	12.0
2008-11-19	Emnid	rep	
2008-11-19	Emnid	pir	
2008-11-19	Emnid	spd	25.0
2008-11-19	Forsa	gru	10.0
2008-11-19	Forsa	cdu	36.0
2008-11-19	Forsa	afd	
2008-11-19	Forsa	lin	12.0
2008-11-19	Forsa	son	6.0
2008-11-19	Forsa	fdp	13.0
2008-11-19	Forsa	rep	
2008-11-19	Forsa	pir	
2008-11-19	Forsa	spd	23.0
2008-11-19	Allensbach	gru	10.8
2008-11-19	Allensbach	cdu	36.1
2008-11-19	Allensbach	afd	
2008-11-19	Allensbach	lin	11.3
2008-11-19	Allensbach	son	4.0
2008-11-19	Allensbach	fdp	11.2
2008-11-19	Allensbach	rep	
2008-11-19	Allensbach	pir	
2008-11-19	Allensbach	spd	26.6
2008-11-14	Infratestdimap	gru	11.0
2008-11-14	Infratestdimap	cdu	37.0
2008-11-14	Infratestdimap	afd	
2008-11-14	Infratestdimap	lin	13.0
2008-11-14	Infratestdimap	son	3.0
2008-11-14	Infratestdimap	fdp	11.0
2008-11-14	Infratestdimap	rep	
2008-11-14	Infratestdimap	pir	
2008-11-14	Infratestdimap	spd	25.0
2008-11-12	Emnid	gru	9.0
2008-11-12	Emnid	cdu	35.0
2008-11-12	Emnid	afd	
2008-11-12	Emnid	lin	13.0
2008-11-12	Emnid	son	4.0
2008-11-12	Emnid	fdp	13.0
2008-11-12	Emnid	rep	
2008-11-12	Emnid	pir	
2008-11-12	Emnid	spd	26.0
2008-11-12	Forsa	gru	9.0
2008-11-12	Forsa	cdu	37.0
2008-11-12	Forsa	afd	
2008-11-12	Forsa	lin	13.0
2008-11-12	Forsa	son	6.0
2008-11-12	Forsa	fdp	12.0
2008-11-12	Forsa	rep	
2008-11-12	Forsa	pir	
2008-11-12	Forsa	spd	23.0
2008-11-07	FGW	gru	9.0
2008-11-07	FGW	cdu	43.0
2008-11-07	FGW	afd	
2008-11-07	FGW	lin	9.0
2008-11-07	FGW	son	
2008-11-07	FGW	fdp	10.0
2008-11-07	FGW	rep	
2008-11-07	FGW	pir	
2008-11-07	FGW	spd	25.0
2008-11-06	Emnid	gru	10.0
2008-11-06	Emnid	cdu	34.0
2008-11-06	Emnid	afd	
2008-11-06	Emnid	lin	14.0
2008-11-06	Emnid	son	5.0
2008-11-06	Emnid	fdp	12.0
2008-11-06	Emnid	rep	
2008-11-06	Emnid	pir	
2008-11-06	Emnid	spd	25.0
2008-11-06	Infratestdimap	gru	11.0
2008-11-06	Infratestdimap	cdu	37.0
2008-11-06	Infratestdimap	afd	
2008-11-06	Infratestdimap	lin	12.0
2008-11-06	Infratestdimap	son	4.0
2008-11-06	Infratestdimap	fdp	11.0
2008-11-06	Infratestdimap	rep	
2008-11-06	Infratestdimap	pir	
2008-11-06	Infratestdimap	spd	25.0
2008-11-05	Forsa	gru	7.0
2008-11-05	Forsa	cdu	36.0
2008-11-05	Forsa	afd	
2008-11-05	Forsa	lin	13.0
2008-11-05	Forsa	son	6.0
2008-11-05	Forsa	fdp	12.0
2008-11-05	Forsa	rep	
2008-11-05	Forsa	pir	
2008-11-05	Forsa	spd	26.0
2008-10-29	Forsa	gru	8.0
2008-10-29	Forsa	cdu	36.0
2008-10-29	Forsa	afd	
2008-10-29	Forsa	lin	13.0
2008-10-29	Forsa	son	6.0
2008-10-29	Forsa	fdp	13.0
2008-10-29	Forsa	rep	
2008-10-29	Forsa	pir	
2008-10-29	Forsa	spd	24.0
2008-10-28	Emnid	gru	11.0
2008-10-28	Emnid	cdu	33.0
2008-10-28	Emnid	afd	
2008-10-28	Emnid	lin	13.0
2008-10-28	Emnid	son	5.0
2008-10-28	Emnid	fdp	12.0
2008-10-28	Emnid	rep	
2008-10-28	Emnid	pir	
2008-10-28	Emnid	spd	26.0
2008-10-24	FGW	gru	10.0
2008-10-24	FGW	cdu	39.0
2008-10-24	FGW	afd	
2008-10-24	FGW	lin	9.0
2008-10-24	FGW	son	
2008-10-24	FGW	fdp	11.0
2008-10-24	FGW	rep	
2008-10-24	FGW	pir	
2008-10-24	FGW	spd	26.0
2008-10-22	Emnid	gru	10.0
2008-10-22	Emnid	cdu	33.0
2008-10-22	Emnid	afd	
2008-10-22	Emnid	lin	14.0
2008-10-22	Emnid	son	4.0
2008-10-22	Emnid	fdp	13.0
2008-10-22	Emnid	rep	
2008-10-22	Emnid	pir	
2008-10-22	Emnid	spd	26.0
2008-10-22	Forsa	gru	9.0
2008-10-22	Forsa	cdu	37.0
2008-10-22	Forsa	afd	
2008-10-22	Forsa	lin	13.0
2008-10-22	Forsa	son	5.0
2008-10-22	Forsa	fdp	12.0
2008-10-22	Forsa	rep	
2008-10-22	Forsa	pir	
2008-10-22	Forsa	spd	24.0
2008-10-22	GMS	gru	9.5
2008-10-22	GMS	cdu	36.8
2008-10-22	GMS	afd	
2008-10-22	GMS	lin	12.7
2008-10-22	GMS	son	4.1
2008-10-22	GMS	fdp	12.6
2008-10-22	GMS	rep	
2008-10-22	GMS	pir	
2008-10-22	GMS	spd	24.3
2008-10-21	Allensbach	gru	10.3
2008-10-21	Allensbach	cdu	35.5
2008-10-21	Allensbach	afd	
2008-10-21	Allensbach	lin	12.6
2008-10-21	Allensbach	son	3.6
2008-10-21	Allensbach	fdp	12.2
2008-10-21	Allensbach	rep	
2008-10-21	Allensbach	pir	
2008-10-21	Allensbach	spd	25.8
2008-10-15	Emnid	gru	10.0
2008-10-15	Emnid	cdu	33.0
2008-10-15	Emnid	afd	
2008-10-15	Emnid	lin	14.0
2008-10-15	Emnid	son	5.0
2008-10-15	Emnid	fdp	13.0
2008-10-15	Emnid	rep	
2008-10-15	Emnid	pir	
2008-10-15	Emnid	spd	25.0
2008-10-15	Forsa	gru	10.0
2008-10-15	Forsa	cdu	35.0
2008-10-15	Forsa	afd	
2008-10-15	Forsa	lin	12.0
2008-10-15	Forsa	son	6.0
2008-10-15	Forsa	fdp	13.0
2008-10-15	Forsa	rep	
2008-10-15	Forsa	pir	
2008-10-15	Forsa	spd	24.0
2008-10-15	Infratestdimap	gru	10.0
2008-10-15	Infratestdimap	cdu	35.0
2008-10-15	Infratestdimap	afd	
2008-10-15	Infratestdimap	lin	13.0
2008-10-15	Infratestdimap	son	5.0
2008-10-15	Infratestdimap	fdp	12.0
2008-10-15	Infratestdimap	rep	
2008-10-15	Infratestdimap	pir	
2008-10-15	Infratestdimap	spd	25.0
2008-10-10	FGW	gru	8.0
2008-10-10	FGW	cdu	39.0
2008-10-10	FGW	afd	
2008-10-10	FGW	lin	11.0
2008-10-10	FGW	son	
2008-10-10	FGW	fdp	12.0
2008-10-10	FGW	rep	
2008-10-10	FGW	pir	
2008-10-10	FGW	spd	25.0
2008-10-08	Emnid	gru	11.0
2008-10-08	Emnid	cdu	33.0
2008-10-08	Emnid	afd	
2008-10-08	Emnid	lin	13.0
2008-10-08	Emnid	son	4.0
2008-10-08	Emnid	fdp	13.0
2008-10-08	Emnid	rep	
2008-10-08	Emnid	pir	
2008-10-08	Emnid	spd	26.0
2008-10-08	Forsa	gru	9.0
2008-10-08	Forsa	cdu	33.0
2008-10-08	Forsa	afd	
2008-10-08	Forsa	lin	13.0
2008-10-08	Forsa	son	5.0
2008-10-08	Forsa	fdp	13.0
2008-10-08	Forsa	rep	
2008-10-08	Forsa	pir	
2008-10-08	Forsa	spd	27.0
2008-10-02	Infratestdimap	gru	11.0
2008-10-02	Infratestdimap	cdu	35.0
2008-10-02	Infratestdimap	afd	
2008-10-02	Infratestdimap	lin	11.0
2008-10-02	Infratestdimap	son	5.0
2008-10-02	Infratestdimap	fdp	13.0
2008-10-02	Infratestdimap	rep	
2008-10-02	Infratestdimap	pir	
2008-10-02	Infratestdimap	spd	25.0
2008-10-01	Emnid	gru	10.0
2008-10-01	Emnid	cdu	34.0
2008-10-01	Emnid	afd	
2008-10-01	Emnid	lin	14.0
2008-10-01	Emnid	son	5.0
2008-10-01	Emnid	fdp	12.0
2008-10-01	Emnid	rep	
2008-10-01	Emnid	pir	
2008-10-01	Emnid	spd	25.0
2008-10-01	Forsa	gru	8.0
2008-10-01	Forsa	cdu	37.0
2008-10-01	Forsa	afd	
2008-10-01	Forsa	lin	13.0
2008-10-01	Forsa	son	5.0
2008-10-01	Forsa	fdp	11.0
2008-10-01	Forsa	rep	
2008-10-01	Forsa	pir	
2008-10-01	Forsa	spd	26.0
2008-09-24	Forsa	gru	9.0
2008-09-24	Forsa	cdu	36.0
2008-09-24	Forsa	afd	
2008-09-24	Forsa	lin	14.0
2008-09-24	Forsa	son	5.0
2008-09-24	Forsa	fdp	11.0
2008-09-24	Forsa	rep	
2008-09-24	Forsa	pir	
2008-09-24	Forsa	spd	25.0
2008-09-23	Emnid	gru	10.0
2008-09-23	Emnid	cdu	34.0
2008-09-23	Emnid	afd	
2008-09-23	Emnid	lin	14.0
2008-09-23	Emnid	son	5.0
2008-09-23	Emnid	fdp	11.0
2008-09-23	Emnid	rep	
2008-09-23	Emnid	pir	
2008-09-23	Emnid	spd	26.0
2008-09-23	GMS	gru	7.2
2008-09-23	GMS	cdu	38.5
2008-09-23	GMS	afd	
2008-09-23	GMS	lin	11.9
2008-09-23	GMS	son	6.1
2008-09-23	GMS	fdp	11.9
2008-09-23	GMS	rep	
2008-09-23	GMS	pir	
2008-09-23	GMS	spd	24.4
2008-09-19	Infratestdimap	gru	10.0
2008-09-19	Infratestdimap	cdu	37.0
2008-09-19	Infratestdimap	afd	
2008-09-19	Infratestdimap	lin	12.0
2008-09-19	Infratestdimap	son	3.0
2008-09-19	Infratestdimap	fdp	12.0
2008-09-19	Infratestdimap	rep	
2008-09-19	Infratestdimap	pir	
2008-09-19	Infratestdimap	spd	26.0
2008-09-17	Emnid	gru	10.0
2008-09-17	Emnid	cdu	35.0
2008-09-17	Emnid	afd	
2008-09-17	Emnid	lin	13.0
2008-09-17	Emnid	son	4.0
2008-09-17	Emnid	fdp	12.0
2008-09-17	Emnid	rep	
2008-09-17	Emnid	pir	
2008-09-17	Emnid	spd	26.0
2008-09-17	Forsa	gru	8.0
2008-09-17	Forsa	cdu	38.0
2008-09-17	Forsa	afd	
2008-09-17	Forsa	lin	14.0
2008-09-17	Forsa	son	5.0
2008-09-17	Forsa	fdp	10.0
2008-09-17	Forsa	rep	
2008-09-17	Forsa	pir	
2008-09-17	Forsa	spd	25.0
2008-09-17	Allensbach	gru	10.3
2008-09-17	Allensbach	cdu	36.2
2008-09-17	Allensbach	afd	
2008-09-17	Allensbach	lin	11.5
2008-09-17	Allensbach	son	4.1
2008-09-17	Allensbach	fdp	11.3
2008-09-17	Allensbach	rep	
2008-09-17	Allensbach	pir	
2008-09-17	Allensbach	spd	26.6
2008-09-12	FGW	gru	8.0
2008-09-12	FGW	cdu	42.0
2008-09-12	FGW	afd	
2008-09-12	FGW	lin	11.0
2008-09-12	FGW	son	
2008-09-12	FGW	fdp	7.0
2008-09-12	FGW	rep	
2008-09-12	FGW	pir	
2008-09-12	FGW	spd	28.0
2008-09-11	Emnid	gru	10.0
2008-09-11	Emnid	cdu	36.0
2008-09-11	Emnid	afd	
2008-09-11	Emnid	lin	13.0
2008-09-11	Emnid	son	4.0
2008-09-11	Emnid	fdp	11.0
2008-09-11	Emnid	rep	
2008-09-11	Emnid	pir	
2008-09-11	Emnid	spd	26.0
2008-09-10	Infratestdimap	gru	10.0
2008-09-10	Infratestdimap	cdu	36.0
2008-09-10	Infratestdimap	afd	
2008-09-10	Infratestdimap	lin	12.0
2008-09-10	Infratestdimap	son	4.0
2008-09-10	Infratestdimap	fdp	12.0
2008-09-10	Infratestdimap	rep	
2008-09-10	Infratestdimap	pir	
2008-09-10	Infratestdimap	spd	26.0
2008-09-09	Emnid	gru	10.0
2008-09-09	Emnid	cdu	36.0
2008-09-09	Emnid	afd	
2008-09-09	Emnid	lin	13.0
2008-09-09	Emnid	son	3.0
2008-09-09	Emnid	fdp	11.0
2008-09-09	Emnid	rep	
2008-09-09	Emnid	pir	
2008-09-09	Emnid	spd	27.0
2008-09-09	Forsa	gru	10.0
2008-09-09	Forsa	cdu	37.0
2008-09-09	Forsa	afd	
2008-09-09	Forsa	lin	14.0
2008-09-09	Forsa	son	5.0
2008-09-09	Forsa	fdp	12.0
2008-09-09	Forsa	rep	
2008-09-09	Forsa	pir	
2008-09-09	Forsa	spd	22.0
2008-09-04	Infratestdimap	gru	10.0
2008-09-04	Infratestdimap	cdu	36.0
2008-09-04	Infratestdimap	afd	
2008-09-04	Infratestdimap	lin	13.0
2008-09-04	Infratestdimap	son	4.0
2008-09-04	Infratestdimap	fdp	11.0
2008-09-04	Infratestdimap	rep	
2008-09-04	Infratestdimap	pir	
2008-09-04	Infratestdimap	spd	26.0
2008-09-03	Forsa	gru	10.0
2008-09-03	Forsa	cdu	37.0
2008-09-03	Forsa	afd	
2008-09-03	Forsa	lin	14.0
2008-09-03	Forsa	son	5.0
2008-09-03	Forsa	fdp	13.0
2008-09-03	Forsa	rep	
2008-09-03	Forsa	pir	
2008-09-03	Forsa	spd	21.0
2008-09-02	Emnid	gru	11.0
2008-09-02	Emnid	cdu	36.0
2008-09-02	Emnid	afd	
2008-09-02	Emnid	lin	14.0
2008-09-02	Emnid	son	3.0
2008-09-02	Emnid	fdp	11.0
2008-09-02	Emnid	rep	
2008-09-02	Emnid	pir	
2008-09-02	Emnid	spd	25.0
2008-08-27	Emnid	gru	11.0
2008-08-27	Emnid	cdu	36.0
2008-08-27	Emnid	afd	
2008-08-27	Emnid	lin	13.0
2008-08-27	Emnid	son	4.0
2008-08-27	Emnid	fdp	12.0
2008-08-27	Emnid	rep	
2008-08-27	Emnid	pir	
2008-08-27	Emnid	spd	24.0
2008-08-27	Forsa	gru	10.0
2008-08-27	Forsa	cdu	37.0
2008-08-27	Forsa	afd	
2008-08-27	Forsa	lin	15.0
2008-08-27	Forsa	son	6.0
2008-08-27	Forsa	fdp	12.0
2008-08-27	Forsa	rep	
2008-08-27	Forsa	pir	
2008-08-27	Forsa	spd	20.0
2008-08-25	GMS	gru	11.6
2008-08-25	GMS	cdu	38.0
2008-08-25	GMS	afd	
2008-08-25	GMS	lin	12.9
2008-08-25	GMS	son	3.5
2008-08-25	GMS	fdp	11.7
2008-08-25	GMS	rep	
2008-08-25	GMS	pir	
2008-08-25	GMS	spd	22.3
2008-08-22	Infratestdimap	gru	10.0
2008-08-22	Infratestdimap	cdu	37.0
2008-08-22	Infratestdimap	afd	
2008-08-22	Infratestdimap	lin	13.0
2008-08-22	Infratestdimap	son	3.0
2008-08-22	Infratestdimap	fdp	12.0
2008-08-22	Infratestdimap	rep	
2008-08-22	Infratestdimap	pir	
2008-08-22	Infratestdimap	spd	25.0
2008-08-20	Emnid	gru	10.0
2008-08-20	Emnid	cdu	36.0
2008-08-20	Emnid	afd	
2008-08-20	Emnid	lin	14.0
2008-08-20	Emnid	son	4.0
2008-08-20	Emnid	fdp	12.0
2008-08-20	Emnid	rep	
2008-08-20	Emnid	pir	
2008-08-20	Emnid	spd	24.0
2008-08-20	Forsa	gru	11.0
2008-08-20	Forsa	cdu	37.0
2008-08-20	Forsa	afd	
2008-08-20	Forsa	lin	14.0
2008-08-20	Forsa	son	5.0
2008-08-20	Forsa	fdp	13.0
2008-08-20	Forsa	rep	
2008-08-20	Forsa	pir	
2008-08-20	Forsa	spd	20.0
2008-08-19	Allensbach	gru	9.5
2008-08-19	Allensbach	cdu	36.1
2008-08-19	Allensbach	afd	
2008-08-19	Allensbach	lin	13.0
2008-08-19	Allensbach	son	3.6
2008-08-19	Allensbach	fdp	11.3
2008-08-19	Allensbach	rep	
2008-08-19	Allensbach	pir	
2008-08-19	Allensbach	spd	26.5
2008-08-15	FGW	gru	10.0
2008-08-15	FGW	cdu	43.0
2008-08-15	FGW	afd	
2008-08-15	FGW	lin	10.0
2008-08-15	FGW	son	
2008-08-15	FGW	fdp	8.0
2008-08-15	FGW	rep	
2008-08-15	FGW	pir	
2008-08-15	FGW	spd	25.0
2008-08-13	Emnid	gru	11.0
2008-08-13	Emnid	cdu	36.0
2008-08-13	Emnid	afd	
2008-08-13	Emnid	lin	14.0
2008-08-13	Emnid	son	4.0
2008-08-13	Emnid	fdp	11.0
2008-08-13	Emnid	rep	
2008-08-13	Emnid	pir	
2008-08-13	Emnid	spd	24.0
2008-08-13	Forsa	gru	11.0
2008-08-13	Forsa	cdu	37.0
2008-08-13	Forsa	afd	
2008-08-13	Forsa	lin	14.0
2008-08-13	Forsa	son	6.0
2008-08-13	Forsa	fdp	12.0
2008-08-13	Forsa	rep	
2008-08-13	Forsa	pir	
2008-08-13	Forsa	spd	20.0
2008-08-07	Infratestdimap	gru	11.0
2008-08-07	Infratestdimap	cdu	36.0
2008-08-07	Infratestdimap	afd	
2008-08-07	Infratestdimap	lin	14.0
2008-08-07	Infratestdimap	son	3.0
2008-08-07	Infratestdimap	fdp	12.0
2008-08-07	Infratestdimap	rep	
2008-08-07	Infratestdimap	pir	
2008-08-07	Infratestdimap	spd	24.0
2008-08-06	Emnid	gru	10.0
2008-08-06	Emnid	cdu	35.0
2008-08-06	Emnid	afd	
2008-08-06	Emnid	lin	14.0
2008-08-06	Emnid	son	4.0
2008-08-06	Emnid	fdp	12.0
2008-08-06	Emnid	rep	
2008-08-06	Emnid	pir	
2008-08-06	Emnid	spd	25.0
2008-08-06	Forsa	gru	10.0
2008-08-06	Forsa	cdu	38.0
2008-08-06	Forsa	afd	
2008-08-06	Forsa	lin	14.0
2008-08-06	Forsa	son	5.0
2008-08-06	Forsa	fdp	11.0
2008-08-06	Forsa	rep	
2008-08-06	Forsa	pir	
2008-08-06	Forsa	spd	22.0
2008-07-30	Emnid	gru	10.0
2008-07-30	Emnid	cdu	35.0
2008-07-30	Emnid	afd	
2008-07-30	Emnid	lin	13.0
2008-07-30	Emnid	son	4.0
2008-07-30	Emnid	fdp	12.0
2008-07-30	Emnid	rep	
2008-07-30	Emnid	pir	
2008-07-30	Emnid	spd	26.0
2008-07-30	Forsa	gru	10.0
2008-07-30	Forsa	cdu	38.0
2008-07-30	Forsa	afd	
2008-07-30	Forsa	lin	14.0
2008-07-30	Forsa	son	5.0
2008-07-30	Forsa	fdp	12.0
2008-07-30	Forsa	rep	
2008-07-30	Forsa	pir	
2008-07-30	Forsa	spd	21.0
2008-07-24	GMS	gru	11.6
2008-07-24	GMS	cdu	35.5
2008-07-24	GMS	afd	
2008-07-24	GMS	lin	10.4
2008-07-24	GMS	son	3.3
2008-07-24	GMS	fdp	11.3
2008-07-24	GMS	rep	
2008-07-24	GMS	pir	
2008-07-24	GMS	spd	27.9
2008-07-23	Emnid	gru	11.0
2008-07-23	Emnid	cdu	35.0
2008-07-23	Emnid	afd	
2008-07-23	Emnid	lin	13.0
2008-07-23	Emnid	son	3.0
2008-07-23	Emnid	fdp	12.0
2008-07-23	Emnid	rep	
2008-07-23	Emnid	pir	
2008-07-23	Emnid	spd	26.0
2008-07-23	Forsa	gru	10.0
2008-07-23	Forsa	cdu	39.0
2008-07-23	Forsa	afd	
2008-07-23	Forsa	lin	14.0
2008-07-23	Forsa	son	5.0
2008-07-23	Forsa	fdp	11.0
2008-07-23	Forsa	rep	
2008-07-23	Forsa	pir	
2008-07-23	Forsa	spd	21.0
2008-07-22	Allensbach	gru	10.1
2008-07-22	Allensbach	cdu	36.3
2008-07-22	Allensbach	afd	
2008-07-22	Allensbach	lin	12.0
2008-07-22	Allensbach	son	3.4
2008-07-22	Allensbach	fdp	11.4
2008-07-22	Allensbach	rep	
2008-07-22	Allensbach	pir	
2008-07-22	Allensbach	spd	26.8
2008-07-16	Forsa	gru	10.0
2008-07-16	Forsa	cdu	36.0
2008-07-16	Forsa	afd	
2008-07-16	Forsa	lin	13.0
2008-07-16	Forsa	son	5.0
2008-07-16	Forsa	fdp	13.0
2008-07-16	Forsa	rep	
2008-07-16	Forsa	pir	
2008-07-16	Forsa	spd	23.0
2008-07-15	Emnid	gru	10.0
2008-07-15	Emnid	cdu	34.0
2008-07-15	Emnid	afd	
2008-07-15	Emnid	lin	13.0
2008-07-15	Emnid	son	4.0
2008-07-15	Emnid	fdp	12.0
2008-07-15	Emnid	rep	
2008-07-15	Emnid	pir	
2008-07-15	Emnid	spd	27.0
2008-07-11	Infratestdimap	gru	12.0
2008-07-11	Infratestdimap	cdu	37.0
2008-07-11	Infratestdimap	afd	
2008-07-11	Infratestdimap	lin	12.0
2008-07-11	Infratestdimap	son	4.0
2008-07-11	Infratestdimap	fdp	11.0
2008-07-11	Infratestdimap	rep	
2008-07-11	Infratestdimap	pir	
2008-07-11	Infratestdimap	spd	24.0
2008-07-11	FGW	gru	9.0
2008-07-11	FGW	cdu	40.0
2008-07-11	FGW	afd	
2008-07-11	FGW	lin	12.0
2008-07-11	FGW	son	
2008-07-11	FGW	fdp	9.0
2008-07-11	FGW	rep	
2008-07-11	FGW	pir	
2008-07-11	FGW	spd	27.0
2008-07-09	Forsa	gru	10.0
2008-07-09	Forsa	cdu	36.0
2008-07-09	Forsa	afd	
2008-07-09	Forsa	lin	13.0
2008-07-09	Forsa	son	6.0
2008-07-09	Forsa	fdp	13.0
2008-07-09	Forsa	rep	
2008-07-09	Forsa	pir	
2008-07-09	Forsa	spd	22.0
2008-07-08	Emnid	gru	10.0
2008-07-08	Emnid	cdu	36.0
2008-07-08	Emnid	afd	
2008-07-08	Emnid	lin	14.0
2008-07-08	Emnid	son	4.0
2008-07-08	Emnid	fdp	11.0
2008-07-08	Emnid	rep	
2008-07-08	Emnid	pir	
2008-07-08	Emnid	spd	25.0
2008-07-03	Infratestdimap	gru	11.0
2008-07-03	Infratestdimap	cdu	36.0
2008-07-03	Infratestdimap	afd	
2008-07-03	Infratestdimap	lin	13.0
2008-07-03	Infratestdimap	son	3.0
2008-07-03	Infratestdimap	fdp	12.0
2008-07-03	Infratestdimap	rep	
2008-07-03	Infratestdimap	pir	
2008-07-03	Infratestdimap	spd	25.0
2008-07-02	Emnid	gru	10.0
2008-07-02	Emnid	cdu	35.0
2008-07-02	Emnid	afd	
2008-07-02	Emnid	lin	13.0
2008-07-02	Emnid	son	4.0
2008-07-02	Emnid	fdp	12.0
2008-07-02	Emnid	rep	
2008-07-02	Emnid	pir	
2008-07-02	Emnid	spd	26.0
2008-07-02	Forsa	gru	10.0
2008-07-02	Forsa	cdu	35.0
2008-07-02	Forsa	afd	
2008-07-02	Forsa	lin	14.0
2008-07-02	Forsa	son	5.0
2008-07-02	Forsa	fdp	14.0
2008-07-02	Forsa	rep	
2008-07-02	Forsa	pir	
2008-07-02	Forsa	spd	22.0
2008-06-27	GMS	gru	12.4
2008-06-27	GMS	cdu	37.1
2008-06-27	GMS	afd	
2008-06-27	GMS	lin	11.4
2008-06-27	GMS	son	5.0
2008-06-27	GMS	fdp	10.7
2008-06-27	GMS	rep	
2008-06-27	GMS	pir	
2008-06-27	GMS	spd	23.4
2008-06-25	Forsa	gru	9.0
2008-06-25	Forsa	cdu	36.0
2008-06-25	Forsa	afd	
2008-06-25	Forsa	lin	15.0
2008-06-25	Forsa	son	5.0
2008-06-25	Forsa	fdp	13.0
2008-06-25	Forsa	rep	
2008-06-25	Forsa	pir	
2008-06-25	Forsa	spd	22.0
2008-06-24	Emnid	gru	10.0
2008-06-24	Emnid	cdu	34.0
2008-06-24	Emnid	afd	
2008-06-24	Emnid	lin	14.0
2008-06-24	Emnid	son	4.0
2008-06-24	Emnid	fdp	13.0
2008-06-24	Emnid	rep	
2008-06-24	Emnid	pir	
2008-06-24	Emnid	spd	25.0
2008-06-24	Allensbach	gru	10.7
2008-06-24	Allensbach	cdu	35.0
2008-06-24	Allensbach	afd	
2008-06-24	Allensbach	lin	12.8
2008-06-24	Allensbach	son	4.0
2008-06-24	Allensbach	fdp	11.9
2008-06-24	Allensbach	rep	
2008-06-24	Allensbach	pir	
2008-06-24	Allensbach	spd	25.6
2008-06-18	Emnid	gru	10.0
2008-06-18	Emnid	cdu	34.0
2008-06-18	Emnid	afd	
2008-06-18	Emnid	lin	15.0
2008-06-18	Emnid	son	4.0
2008-06-18	Emnid	fdp	12.0
2008-06-18	Emnid	rep	
2008-06-18	Emnid	pir	
2008-06-18	Emnid	spd	25.0
2008-06-18	Forsa	gru	11.0
2008-06-18	Forsa	cdu	36.0
2008-06-18	Forsa	afd	
2008-06-18	Forsa	lin	14.0
2008-06-18	Forsa	son	5.0
2008-06-18	Forsa	fdp	13.0
2008-06-18	Forsa	rep	
2008-06-18	Forsa	pir	
2008-06-18	Forsa	spd	21.0
2008-06-13	Infratestdimap	gru	11.0
2008-06-13	Infratestdimap	cdu	36.0
2008-06-13	Infratestdimap	afd	
2008-06-13	Infratestdimap	lin	13.0
2008-06-13	Infratestdimap	son	4.0
2008-06-13	Infratestdimap	fdp	12.0
2008-06-13	Infratestdimap	rep	
2008-06-13	Infratestdimap	pir	
2008-06-13	Infratestdimap	spd	24.0
2008-06-13	FGW	gru	10.0
2008-06-13	FGW	cdu	40.0
2008-06-13	FGW	afd	
2008-06-13	FGW	lin	10.0
2008-06-13	FGW	son	
2008-06-13	FGW	fdp	10.0
2008-06-13	FGW	rep	
2008-06-13	FGW	pir	
2008-06-13	FGW	spd	27.0
2008-06-11	Emnid	gru	11.0
2008-06-11	Emnid	cdu	33.0
2008-06-11	Emnid	afd	
2008-06-11	Emnid	lin	15.0
2008-06-11	Emnid	son	4.0
2008-06-11	Emnid	fdp	13.0
2008-06-11	Emnid	rep	
2008-06-11	Emnid	pir	
2008-06-11	Emnid	spd	24.0
2008-06-11	Forsa	gru	11.0
2008-06-11	Forsa	cdu	35.0
2008-06-11	Forsa	afd	
2008-06-11	Forsa	lin	15.0
2008-06-11	Forsa	son	5.0
2008-06-11	Forsa	fdp	14.0
2008-06-11	Forsa	rep	
2008-06-11	Forsa	pir	
2008-06-11	Forsa	spd	20.0
2008-06-05	Infratestdimap	gru	12.0
2008-06-05	Infratestdimap	cdu	34.0
2008-06-05	Infratestdimap	afd	
2008-06-05	Infratestdimap	lin	14.0
2008-06-05	Infratestdimap	son	3.0
2008-06-05	Infratestdimap	fdp	13.0
2008-06-05	Infratestdimap	rep	
2008-06-05	Infratestdimap	pir	
2008-06-05	Infratestdimap	spd	24.0
2008-06-04	Forsa	gru	12.0
2008-06-04	Forsa	cdu	36.0
2008-06-04	Forsa	afd	
2008-06-04	Forsa	lin	15.0
2008-06-04	Forsa	son	4.0
2008-06-04	Forsa	fdp	13.0
2008-06-04	Forsa	rep	
2008-06-04	Forsa	pir	
2008-06-04	Forsa	spd	20.0
2008-06-03	Emnid	gru	10.0
2008-06-03	Emnid	cdu	35.0
2008-06-03	Emnid	afd	
2008-06-03	Emnid	lin	14.0
2008-06-03	Emnid	son	4.0
2008-06-03	Emnid	fdp	12.0
2008-06-03	Emnid	rep	
2008-06-03	Emnid	pir	
2008-06-03	Emnid	spd	25.0
2008-05-30	FGW	gru	11.0
2008-05-30	FGW	cdu	42.0
2008-05-30	FGW	afd	
2008-05-30	FGW	lin	12.0
2008-05-30	FGW	son	
2008-05-30	FGW	fdp	9.0
2008-05-30	FGW	rep	
2008-05-30	FGW	pir	
2008-05-30	FGW	spd	21.0
2008-05-28	Forsa	gru	11.0
2008-05-28	Forsa	cdu	35.0
2008-05-28	Forsa	afd	
